"STEMTAG","PIECETAG","QUADNAME","QX.x","QY.x","SPCODE_all","SPCODE","DC.2021","BDS.2021","DBH.2014","DBH.2017","DBH.2019","DBH.2021","LENGTH.2021","LENGTH.2017","LENGTH.2014"
40203,"40203H",431,0,3.1,"CATO6","CATO6",3,"Log",36.1,NA,NA,30.2,10.4,10.4,10.4
40203,"40203G",431,0,3.1,"CATO6","CATO6",3,"Log",38.2,NA,NA,14,3.3,1.5,1.5
40203,"40203A",431,0,3.1,"CATO6","CATO6",4,"Log",46.5,NA,NA,44.6,1.2,1.3,NA
40203,"40203D",431,0,3.1,"CATO6","CATO6",4,"Log",39.1,NA,NA,36,1,2,2
40203,"40203C",421,0,3.1,"CATO6","CATO6",4,"Log",43.8,NA,NA,37.1,1.5,2.5,2.5
40203,"40203F",431,0,3.1,"CATO6","CATO6",3,"Log",38.9,NA,NA,21.8,7,2,2
40862,"40862A",462,3.4,5.6,"CATO6","CATO6",4,"Log",34.6,34.8,NA,31.8,NA,NA,16.1
41017,"41017A",473,7.6,4,"CATO6","CATO6",5,"Log",31.6,NA,NA,NA,NA,NA,23.2
41067,"41067A",476,2.8,9.2,"CATO6","CATO6",4,"Log",24.3,NA,NA,NA,NA,12.5,12.5
41135,"41135A",468,2.7,4,"LITU","LITU",4,"Log",45.6,NA,NA,NA,NA,NA,NA
41459,"41459A",4710,9.7,6.6,"LITU","LITU",5,"Log",22.9,NA,NA,NA,NA,NA,NA
41634,"41634A",482,1.8,7.8,"CATO6","CATO6",5,"Log",26.1,NA,NA,NA,NA,NA,NA
41871,"41871A",4910,1.4,2,"ACRU","ACRU",5,"Log",24.1,NA,NA,NA,NA,NA,NA
50898,"50898A",5101,7.3,2.2,"LITU","LITU",4,"Log",20.2,18.8,NA,17.8,4,NA,NA
60227,"60227A",617,NA,NA,"LITU","LITU",1,"Log",74.9,NA,NA,NA,NA,NA,22.3
60282,"60282A",6110,7.8,4.6,"CATO6","CATO6",4,"Log",42.3,NA,NA,NA,NA,8,NA
60291,"60291A",6110,8.4,9.2,"LIST2","LIST2",4,"Log",16,NA,NA,NA,NA,NA,NA
60393,"60393A",645,2.9,6,"LITU","LITU",3,"Log",16.2,NA,NA,NA,NA,9,NA
60617,"60617A",647,8.4,9,"COFL2","COFL2",5,"Log",11,NA,NA,NA,NA,4,4.6
61008,"61008A",681,3.6,4.3,"QUERC","QUERCUS",4,"Log",76.9,76.2,NA,NA,NA,NA,NA
61440,"61440A",6106,3.4,2.9,"QUFA","QUERCUS",3,"Log",51.2,51.3,NA,NA,NA,NA,NA
61440,"61440B",6106,3.4,2.9,"QUFA","QUERCUS",3,"Log",33,NA,NA,NA,NA,10,13.9
61442,"61442A",6106,9.1,5.2,"QURU","QUERCUS",3,"Log",48,NA,NA,NA,NA,16,NA
71138,"71138A",783,1.5,5.8,"QUERC","QUERCUS",5,"Log",55.3,54.1,NA,NA,NA,NA,NA
71138,"71138B",783,1.5,5.8,"QUERC","QUERCUS",5,"Log",34.7,NA,NA,NA,NA,10,9.2
71313,"71313A",789,6.1,7.5,"QUAL","QUERCUS",4,"Log",45.3,NA,NA,NA,NA,8.5,NA
71534,"71534A",7710,3.1,5.7,"QUAL","QUERCUS",3,"Log",53.7,NA,NA,NA,NA,11,NA
80528,"80528A",828,2.5,4.7,"LIST2","LIST2",3,"Log",29,NA,NA,NA,NA,NA,13.5
90930,"90930A",962,0.3,9.9,"LIST2","LIST2",4,"Log",24.2,NA,NA,NA,NA,7,NA
10178,"10178A",117,0.5,7.8,"QUAL","QUERCUS",4,"Log",NA,20.5,NA,19.8,8,NA,NA
10350,"10350A",147,9.1,7.5,"LIST2","LIST2",4,"Log",NA,31.3,NA,33,10,NA,NA
10665,"10665A",1610,7.6,8.9,"QUAL","QUERCUS",2,"Log",NA,NA,NA,52,NA,17,NA
10805,"10805A",191,1.1,0.9,"QURU","QUERCUS",5,"Log",NA,NA,NA,NA,NA,12,NA
20151,"20151A",226,3,9.2,"CATO6","CATO6",3,"Log",NA,11.5,NA,10.1,7.7,NA,NA
20260,"20260A",244,4.9,1.1,"COFL2","COFL2",3,"Log",NA,NA,NA,NA,NA,11,NA
20313,"20313A",231,9.8,5.8,"COFL2","COFL2",2,"Log",NA,10.5,NA,NA,NA,NA,NA
20354,"20354B",227,1.4,3.2,"QUAL","QUERCUS",4,"Log",NA,NA,NA,NA,NA,10,NA
20811,"20811A",281,7.3,7.1,"LIST2","LIST2",3,"Log",NA,NA,NA,NA,NA,10,NA
21541,"21541B",243,0.4,4.7,"QURU","QUERCUS",3,"Log",NA,NA,NA,NA,NA,7,NA
30242,"30242A",335,2.6,3.8,"LIST2","LIST2",3,"Log",NA,NA,NA,NA,NA,18,NA
30264,"30264A",337,6.4,1.8,"QUFA","QUERCUS",4,"Log",NA,NA,NA,NA,NA,NA,NA
30264,"30264B",346,6.4,1.8,"QUFA","QUERCUS",3,"Log",NA,NA,NA,NA,NA,7,NA
30272,"30272A",337,1.5,8.4,"ACRU","ACRU",4,"Log",NA,NA,NA,NA,NA,14,NA
30340,"30340B",343,8.2,0.3,"ACRU","ACRU",4,"Log",NA,NA,NA,NA,NA,11,NA
30340,"30340A",343,8.2,0.3,"ACRU","ACRU",4,"Log",NA,26.9,NA,NA,NA,NA,NA
30438,"30438A",351,7,7,"LIST2","LIST2",3,"Log",NA,11.6,NA,12.7,3,NA,NA
31089,"31089B",394,0.7,9.2,"LIST2","LIST2",4,"Log",NA,NA,NA,NA,NA,12.5,NA
31122,"31122A",377,0,1.5,"CATO6","CATO6",1,"Log",NA,NA,NA,46,0.88,NA,NA
31335,"31335A",389,0.5,6.9,"CATO6","CATO6",4,"Log",NA,16.5,NA,NA,NA,NA,NA
31504,"31504A",395,5.6,6.4,"COFL2","COFL2",2,"Log",NA,10.2,NA,NA,NA,NA,NA
40203,"40203I",431,0,3.1,"CATO6","CATO6",4,"Log",NA,NA,NA,31.5,1.2,NA,NA
40391,"40391A",428,NA,NA,"ACRU","ACRU",3,"Log",NA,NA,NA,9.8,NA,1.5,NA
40808,"40808A",4310,3.2,3.6,"COFL2","COFL2",3,"Log",NA,11.5,NA,10.2,6.8,NA,NA
40858,"40858B",462,4.3,1.3,"CATO6","CATO6",3,"Log",NA,NA,NA,NA,NA,NA,NA
40962,"40962B",456,7.7,1.9,"COFL2","COFL2",5,"Log",NA,NA,NA,6.1,NA,NA,NA
41133,"41133A",468,6.4,2.4,"QUAL","QUERCUS",2,"Log",NA,NA,NA,52.4,NA,NA,NA
41308,"41308B",458,8.5,7.1,"ACRU","ACRU",4,"Log",NA,NA,NA,NA,NA,NA,NA
41481,"41481A",4101,1.5,0.5,"QURU","QUERCUS",2,"Log",NA,NA,NA,39.9,4.1,NA,NA
41481,"41481A",4101,1.5,0.5,"QURU","QUERCUS",2,"Log",NA,NA,NA,37.7,7.7,NA,NA
41732,"41732A",4105,1.1,1.6,"QUAL","QUERCUS",3,"Log",NA,21.5,NA,NA,NA,NA,NA
41901,"41901A",488,2.2,2,"QUAL","QUERCUS",4,"Log",NA,NA,NA,NA,NA,NA,NA
41922,"41922B",489,5.6,2.4,"LIST2","LIST2",5,"Log",NA,NA,NA,NA,NA,NA,NA
41922,"41922A",489,5.6,2.4,"LIST2","LIST2",3,"Log",NA,14.7,NA,NA,NA,NA,NA
41952,"41952B",4810,1.8,10,"ACRU","ACRU",3,"Log",NA,NA,NA,NA,NA,NA,NA
41952,"41952A",4810,1.8,10,"ACRU","ACRU",4,"Log",NA,12.1,NA,NA,NA,NA,NA
50842,"50842A",574,NA,NA,"LIST2","LIST2",2,"Log",NA,NA,NA,56,20.8,NA,NA
51330,"51330A",576,0.2,0.4,"ACRU","ACRU",4,"Log",NA,NA,NA,NA,NA,6,NA
53831,"53831A",597,9.6,8.7,"LIST2","LIST2",4,"Log",NA,25.1,NA,NA,NA,NA,NA
60223,"60223A",617,2.9,6.2,"LIST2","LIST2",2,"Log",NA,13,NA,NA,NA,NA,NA
60470,"60470A",636,0.1,7.1,"LITU","LITU",3,"Log",NA,NA,NA,NA,NA,9.5,NA
60622,"60622A",648,0.8,3.1,"COFL2","COFL2",2,"Log",NA,11.6,NA,NA,NA,NA,NA
60636,"60636A",649,1.2,6,"COFL2","COFL2",2,"Log",NA,NA,NA,NA,NA,9,NA
60813,"60813A",665,5.1,2.1,"COFL2","COFL2",3,"Log",NA,NA,NA,NA,NA,7,NA
60856,"60856A",668,9.1,3.4,"COFL2","COFL2",3,"Log",NA,NA,NA,NA,NA,6,NA
61139,"61139A",6710,9.4,5,"QUFA","QUERCUS",3,"Log",NA,NA,NA,NA,NA,17,NA
70002,"70002B",711,8.4,0.5,"CATO6","CATO6",5,"Log",NA,NA,NA,NA,NA,11,NA
70413,"70413B",716,7.1,7.4,"LIST2","LIST2",4,"Log",NA,NA,NA,NA,NA,3,NA
70561,"70561A",739,3.5,6,"COFL2","COFL2",2,"Log",NA,10.5,NA,NA,NA,NA,NA
71345,"71345A",7109,6.6,0.9,"CATO6","CATO6",3,"Log",NA,NA,NA,26,NA,9,NA
71652,"71652A",7104,5.4,5.4,"COFL2","COFL2",4,"Log",NA,12.1,NA,11.8,1.6,NA,NA
71652,"71652A",7104,5.4,5.4,"COFL2","COFL2",2,"Log",NA,NA,NA,10.2,7.6,NA,NA
80339,"80339B",819,0.9,9,"LIST2","LIST2",4,"Log",NA,NA,NA,NA,NA,NA,NA
80360,"80360A",841,7.8,2.5,"CATO6","CATO6",2,"Log",NA,15.8,NA,NA,NA,NA,NA
80378,"80378A",842,1.6,4.8,"COFL2","COFL2",2,"Log",NA,14.2,NA,NA,NA,NA,NA
80394,"80394A",843,0.4,2.2,"QURU","QUERCUS",3,"Snag ",NA,88.3,NA,NA,NA,NA,NA
80891,"80891B",848,1.6,5.8,"QUVE","QUERCUS",5,"Log",NA,NA,NA,NA,NA,NA,NA
80891,"80891A",848,1.6,5.8,"QUVE","QUERCUS",4,"Log",NA,110.5,NA,NA,NA,NA,NA
81312,"81312A",898,1.2,2.1,"QUVE","QUERCUS",3,"Log",NA,NA,NA,NA,NA,NA,NA
90203,"90203A",981,6,9.2,"LIST2","LIST2",3,"Log",NA,18.7,NA,18.2,8.9,NA,NA
90847,"90847A",951,1.9,9.7,"LIST2","LIST2",4,"Log",NA,NA,NA,17.5,5,NA,NA
90851,"90851A",951,6.3,9,"LIST2","LIST2",3,"Log",NA,12.4,NA,11.8,9.5,NA,NA
90920,"90920A",962,4,3.8,"LIST2","LIST2",3,"Log",NA,15.2,NA,15.1,8.5,NA,NA
91590,"91590A",935,4.7,4.1,"CATO6","CATO6",3,"Log",NA,20.5,NA,21.3,12,NA,NA
92297,"92297B",912,2.6,1.7,"LITU","LITU",3,"Log",NA,NA,NA,NA,NA,15,NA
100316,"100316A",1036,5,5.2,"QUVE","QUERCUS",2,"Log",NA,NA,NA,NA,NA,30,NA
100320,"100320A",1036,4.8,7.2,"QUVE","QUERCUS",2,"Log",NA,NA,NA,NA,NA,20,NA
100819,"100819B",1046,2.3,3.2,"LITU","LITU",2,"Log",NA,NA,NA,NA,NA,30,NA
101467,"101467B",1079,8.1,5.2,"ACRU","ACRU",5,"Log",NA,NA,NA,NA,NA,10,NA
110582,"110582A",1162,9.8,2.1,"COFL2","COFL2",4,"Log",NA,12.5,NA,NA,NA,NA,NA
110834,"110834A",1154,2,8.2,"COFL2","COFL2",3,"Log",NA,NA,NA,NA,NA,5,NA
112005,"112005A",11105,7.9,9,"QUCO2","QUERCUS",4,"Log",NA,NA,NA,NA,NA,21,NA
130211,"130211A",1313,2,0.4,"LIST2","LIST2",4,"Log",NA,13.1,NA,10.2,3.5,NA,NA
130346,"130346A",1312,4.8,7.8,"LIST2","LIST2",3,"Log",NA,13.2,NA,13.7,3,NA,NA
130346,"130346A",1312,4.8,7.8,"LIST2","LIST2",3,"Log",NA,NA,NA,10.5,3,NA,NA
131163,"131163B",1363,9.5,1.9,"LIST2","LIST2",2,"Log",NA,NA,NA,NA,NA,10,NA
131260,"131260A",1354,6.9,10,"LITU","LITU",5,"Log",NA,NA,NA,NA,NA,4,NA
132472,"132472B",13102,9.5,4.4,"LITU","LITU",5,"Log",NA,NA,NA,NA,NA,5,NA
134046,"134046B",1398,0.8,5.2,"LITU","LITU",2,"Log",NA,NA,NA,NA,NA,14,NA
140075,"140075A",1426,10,0.2,"ACRU","ACRU",3,"Log",NA,27.7,NA,24.5,2,NA,NA
140283,"140283A",14210,9,9,"ACRU","ACRU",3,"Log",NA,33,NA,32.6,3.5,NA,NA
141322,"141322B",1459,1.2,4.5,"QUPA2","QUERCUS",3,"Log",NA,NA,NA,NA,NA,4,NA
142037,"142037A",14105,0.5,8.9,"LIST2","LIST2",3,"Log",NA,NA,NA,NA,NA,13,NA
142404,"142404A",1498,0.6,9.4,"COFL2","COFL2",2,"Log",NA,11.1,NA,NA,NA,NA,NA
142524,"142524A",14108,2.8,7.1,"LIST2","LIST2",3,"Log",NA,27.1,NA,NA,NA,NA,NA
142752,"142752A",1473,1.4,4.2,"CATO6","CATO6",2,"Log",NA,NA,NA,NA,NA,3,NA
150005,"150005A",15101,7.6,5,"LITU","LITU",4,"Log",NA,12.4,NA,NA,NA,NA,NA
150206,"150206B",1583,8,7.6,"QURU","QUERCUS",3,"Log",NA,NA,NA,NA,NA,4,NA
150206,"150206A",1592,8,7.6,"QURU","QUERCUS",4,"Log",NA,NA,NA,NA,NA,3,NA
150265,"150265A",15108,6.8,6.1,"LIST2","LIST2",2,"Log",NA,NA,NA,NA,NA,27,NA
150441,"150441A",1573,4.9,3.6,"ACRU","ACRU",4,"Log",NA,43.8,NA,NA,NA,NA,NA
151651,"151651A",1533,4.8,5.3,"ACRU","ACRU",4,"Log",NA,NA,NA,NA,NA,19,NA
152539,"152539A",15710,4.3,1.3,"LITU","LITU",3,"Log",NA,NA,NA,38.4,15.2,NA,NA
160517,"160517B",1685,2.3,10,"QUVE","QUERCUS",2,"Log",NA,NA,NA,NA,NA,8,NA
161410,"161410A",1674,6.9,2.9,"LITU","LITU",4,"Log",NA,10.6,NA,NA,NA,NA,NA
162074,"162074A",1614,8.7,7.1,"LIST2","LIST2",3,"Log",NA,75.9,NA,71.7,16.8,NA,NA
31265,"31265A",385,NA,NA,"COFL2","COFL2",2,"Log",NA,NA,NA,11.2,8.9,NA,NA
40109,"40109A",421,NA,NA,"QUFA","QUERCUS",2,"Log",NA,NA,NA,42.1,25.6,NA,NA
40983,"40983A",457,NA,NA,"CATO6","CATO6",2,"Log",NA,NA,NA,22.5,2.4,NA,NA
100988,"100988A",1073,NA,NA,"ACRU","ACRU",2,"Log",NA,NA,NA,15.7,3,NA,NA
150541,"150541A",1553,NA,NA,"ACRU","ACRU",1,"Log",NA,NA,NA,55.3,9.7,NA,NA
31496,"31496A",3106,NA,NA,"LIST2","LIST2",1,"Log",NA,NA,NA,35.3,23.4,NA,NA
51394,"51394B",5104,NA,NA,"COFL2","COFL2",2,"Log",NA,NA,NA,12,8,NA,NA
20500,"20500B",259,NA,NA,"LIST2","LIST2",1,"Log",NA,NA,48.8,47,17.6,NA,NA
70723,"70723A",752,NA,NA,"QUVE","QUERCUS",1,"Log",NA,NA,NA,74.8,24,NA,NA
110484,"110484A",1152,NA,NA,"COFL2","COFL2",1,"Log",NA,NA,12.7,12.6,6,NA,NA
130901,"130901A",1311,NA,NA,"ACRU","ACRU",2,"Log",NA,NA,20,18.3,9.5,NA,NA
71658,"71658A",7105,NA,NA,"COFL2","COFL2",1,"Log",NA,NA,14,12,9,NA,NA
